iter	Passed	Remaining
0	57	57649
1	57	28936
2	58	19363
3	58	14568
4	58	11701
5	58	9770
6	59	8407
7	59	7393
8	59	6589
9	60	5968
10	60	5443
11	60	5009
12	61	4634
13	61	4314
14	61	4045
15	61	3804
16	62	3586
17	62	3398
18	62	3229
19	62	3076
20	62	2936
21	63	2811
22	63	2697
23	63	2589
24	63	2491
25	64	2407
26	64	2322
27	64	2244
28	64	2171
29	65	2105
30	65	2043
31	65	1985
32	65	1932
33	66	1880
34	66	1832
35	66	1785
36	66	1741
37	67	1699
38	67	1660
39	67	1624
40	67	1586
41	68	1551
42	68	1519
43	68	1488
44	68	1459
45	68	1430
46	69	1403
47	69	1379
48	69	1354
49	70	1331
50	70	1307
51	70	1284
52	70	1263
53	70	1242
54	71	1222
55	71	1202
56	71	1184
57	71	1167
58	72	1149
59	72	1132
60	72	1116
61	72	1100
62	72	1085
63	73	1071
64	73	1057
65	73	1043
66	73	1030
67	74	1017
68	74	1003
69	74	991
70	74	979
71	75	969
72	75	958
73	75	947
74	75	935
75	76	924
76	76	913
77	76	904
78	76	894
79	76	883
80	77	873
81	77	864
82	77	855
83	77	847
84	78	839
85	78	832
86	78	824
87	78	816
88	78	808
89	79	800
90	79	793
91	79	786
92	79	779
93	80	773
94	80	766
95	80	759
96	80	753
97	81	746
98	81	740
99	81	733
100	81	726
101	81	721
102	82	715
103	82	709
104	82	703
105	82	697
106	82	691
107	83	686
108	83	681
109	83	676
110	83	670
111	84	666
112	84	661
113	84	656
114	84	651
115	84	647
116	85	641
117	85	637
118	85	633
119	85	629
120	86	625
121	86	621
122	86	617
123	86	613
124	87	609
125	87	605
126	87	601
127	87	598
128	88	595
129	88	592
130	88	588
131	88	585
132	89	581
133	89	578
134	89	575
135	89	571
136	90	568
137	90	564
138	90	561
139	90	558
140	91	556
141	91	552
142	91	550
143	91	546
144	92	543
145	92	541
146	92	538
147	92	534
148	93	531
149	93	528
150	93	526
151	93	522
152	93	519
153	94	516
154	94	514
155	94	511
156	94	509
157	95	506
158	95	504
159	95	501
160	95	498
161	96	496
162	96	494
163	96	491
164	96	489
165	96	486
166	97	484
167	97	482
168	97	480
169	97	478
170	98	475
171	98	473
172	98	471
173	98	469
174	99	467
175	99	465
176	99	463
177	100	461
178	100	459
179	100	457
180	100	455
181	100	453
182	101	452
183	101	450
184	101	448
185	101	446
186	102	444
187	102	442
188	102	440
189	102	438
190	103	436
191	103	435
192	103	434
193	104	432
194	104	431
195	104	429
196	105	428
197	105	426
198	105	424
199	105	422
200	105	421
201	106	420
202	106	418
203	106	417
204	107	415
205	107	413
206	107	411
207	107	410
208	108	409
209	108	407
210	108	405
211	108	404
212	109	403
213	109	401
214	109	399
215	109	398
216	110	397
217	110	396
218	110	394
219	111	393
220	111	392
221	111	390
222	111	389
223	111	387
224	112	386
225	112	384
226	112	383
227	112	381
228	113	380
229	113	379
230	113	377
231	113	376
232	113	374
233	114	373
234	114	372
235	114	371
236	114	369
237	115	368
238	115	367
239	115	366
240	115	364
241	116	363
242	116	362
243	116	361
244	116	360
245	117	358
246	117	357
247	117	356
248	117	355
249	117	353
250	118	352
251	118	351
252	118	350
253	119	349
254	119	348
255	119	347
256	119	346
257	120	345
258	120	344
259	120	343
260	120	342
261	121	341
262	121	340
263	121	339
264	122	338
265	122	337
266	122	336
267	122	335
268	123	334
269	123	333
270	123	332
271	123	331
272	124	330
273	124	329
274	124	327
275	124	327
276	124	325
277	125	324
278	125	324
279	125	323
280	125	322
281	126	321
282	126	320
283	126	319
284	126	318
285	127	317
286	127	316
287	127	315
288	127	314
289	127	313
290	128	312
291	128	311
292	128	310
293	128	309
294	129	308
295	129	307
296	129	306
297	129	306
298	130	305
299	130	304
300	130	303
301	130	302
302	131	301
303	131	300
304	131	299
305	131	298
306	132	297
307	132	297
308	132	296
309	132	295
310	132	294
311	133	293
312	133	292
313	133	291
314	133	290
315	133	290
316	134	289
317	134	288
318	134	287
319	134	286
320	135	285
321	135	285
322	135	284
323	135	283
324	136	283
325	136	282
326	136	281
327	137	280
328	137	279
329	137	279
330	137	278
331	137	277
332	138	276
333	138	276
334	138	275
335	138	274
336	139	273
337	139	272
338	139	272
339	139	271
340	140	270
341	140	270
342	140	269
343	140	268
344	141	267
345	141	267
346	141	266
347	141	266
348	142	265
349	142	264
350	142	263
351	142	263
352	143	262
353	143	261
354	143	261
355	144	260
356	144	259
357	144	259
358	144	258
359	145	258
360	145	257
361	145	256
362	145	255
363	146	255
364	146	254
365	146	253
366	146	253
367	147	252
368	147	252
369	147	251
370	147	250
371	148	250
372	148	249
373	148	248
374	149	248
375	149	247
376	149	247
377	149	246
378	150	245
379	150	245
380	150	244
381	150	243
382	151	243
383	151	242
384	151	242
385	151	241
386	152	240
387	152	240
388	152	239
389	153	239
390	153	238
391	153	238
392	153	237
393	154	237
394	154	236
395	154	236
396	155	235
397	155	234
398	155	234
399	155	233
400	156	233
401	156	232
402	156	231
403	156	231
404	156	230
405	157	229
406	157	229
407	157	228
408	157	227
409	158	227
410	158	226
411	158	226
412	158	225
413	159	225
414	159	224
415	159	224
416	159	223
417	160	223
418	160	222
419	160	221
420	160	221
421	161	220
422	161	220
423	161	219
424	162	219
425	162	218
426	162	218
427	162	217
428	163	216
429	163	216
430	163	215
431	163	215
432	163	214
433	164	214
434	164	213
435	164	213
436	165	212
437	165	212
438	165	211
439	165	211
440	166	210
441	166	210
442	166	209
443	167	209
444	167	208
445	167	208
446	167	207
447	167	206
448	168	206
449	168	205
450	168	205
451	169	204
452	169	204
453	169	203
